Age,Gender,Marital Status,Education,Job,Income,Loan Amount,Loan Term,Interest Rate,Credit History,Collateral,Employment Length,Num Dependents,Monthly Expenses,Credit Score,Debt to Income Ratio,Loan to Value Ratio,Payment History,Credit Utilization,Bankruptcy,Foreclosure,Delinquency,Repossession,Late Payments,Credit Inquiries,Default,BKI_rate
58,Male,Married,PhD,Self-Employed,5917.217012613482,12717.938657546478,69,9.847068999089446,5,Yes,16,4,1569.5033299937081,0.6036300289422838,0.5975434779595192,0.8330104145655854,11,0.13279064906581362,0,0,0,0,2,7,0,C
58,Female,Divorced,Master,Employed,6911.253650729139,27678.48721107667,41,12.127815182429597,8,Yes,16,0,2547.794025071967,0.8118474553703692,0.7024453953776126,0.8398942570839562,5,0.7341904328001622,0,0,0,0,1,3,0,D
66,Male,Divorced,Bachelor,Self-Employed,5261.292237846735,26950.104211011138,20,15.124800226510674,6,Yes,7,4,2492.336191732349,0.6773503467546236,0.38746286480465014,0.7510450159674175,7,0.6933717649648071,0,0,0,0,4,3,0,C
25,Male,Married,High School,Unemployed,5645.395677669164,19520.291714176357,45,19.588473682364125,7,Yes,11,4,1109.5213608675563,0.7506855956783824,0.36729592259553273,0.7021536067030507,2,0.8604798210081489,0,0,0,0,0,3,0,D
26,Female,Married,Master,Unemployed,7850.992834392194,17537.04507250281,60,17.502409685999623,1,No,15,2,452.77111970231044,0.3566184299171604,0.47167855553094606,0.8048307877044154,12,0.044913540071249924,0,0,0,0,2,4,1,A
58,Female,Married,PhD,Employed,3312.563083490276,22304.7235470959,57,17.45272391993352,3,Yes,3,5,2916.003619775534,0.5036660537461327,0.46649641816885323,0.8193116048903969,0,0.6084566459395666,0,0,0,0,1,6,1,B
32,Female,Divorced,PhD,Employed,4239.498120545233,24112.11743332676,51,19.898354578812707,5,No,5,1,2614.0943658740807,0.5828310521174384,0.37029030918490513,0.7950204582973005,8,0.9481492979240518,0,0,0,0,4,5,0,C
43,Male,Married,Bachelor,Self-Employed,6471.791772063984,20390.892196142016,54,8.691607524516645,5,No,3,2,107.2039523540002,0.5934298964353582,0.32610874922314737,0.812116502348551,10,0.958627140931101,0,0,0,0,5,7,0,C
50,Female,Married,PhD,Unemployed,7457.731644843265,27659.114576127773,41,8.044524803178831,6,No,5,4,2930.579775154387,0.652085475708502,0.30798420844527213,0.7052979584678646,2,0.6936432116709101,0,0,0,0,3,4,0,C
80,Female,Divorced,High School,Employed,133.90284599362894,11452.708651127978,62,15.887461030745458,1,No,12,2,2640.544472938247,0.3411537968236146,0.2874325399633629,0.6521970700301112,5,0.8899603653916849,0,0,0,0,5,7,1,A
18,Male,Married,High School,Unemployed,2539.492334612281,25869.974896297535,29,16.877125774196188,3,Yes,13,3,1258.246813933662,0.5047675747771353,0.3890694166510517,0.8167228273712498,5,0.7294258467287997,1,0,0,0,5,3,1,B
34,Male,Married,High School,Employed,5577.446247240408,21465.926586813006,39,16.92941167829234,6,No,19,0,3731.1377674007044,0.6686076343254183,0.44661710275468214,0.9423013456815793,11,0.48594458351702763,0,0,0,0,1,0,0,C
24,Male,Divorced,High School,Self-Employed,3144.7273820239543,26812.59703692784,36,14.701443640904877,6,No,7,5,1244.2072933297006,0.693863598303036,0.39785749823977096,0.7289256427925414,10,0.12076225307555866,0,0,0,0,2,4,0,C
79,Male,Married,Bachelor,Employed,3166.973823177702,33145.0061980331,15,10.954649612757944,2,Yes,17,4,1279.720424193316,0.4073813124000816,0.39063233165166417,0.8418903484349259,11,0.09067753961864944,0,0,0,0,2,1,1,A
56,Female,Single,Master,Unemployed,4355.988036965706,9564.768643219226,41,13.177916786420246,2,No,1,0,744.1505993217581,0.40911987059615207,0.3534606962946229,0.8520380382242487,3,0.9054190123408203,0,0,0,0,0,8,1,A
25,Male,Single,High School,Unemployed,842.4586271173193,16427.5149394527,55,13.789913066996531,1,No,20,2,3152.758502395596,0.3254103612272335,0.402697114683415,0.7368704451550933,7,0.7894243594663618,1,0,0,0,5,5,1,A
79,Female,Single,High School,Self-Employed,3948.414085339662,45800.39221941986,59,14.28446981786556,3,No,2,2,2425.171595847188,0.508208392652895,0.40292913470155767,0.8565880626176412,4,0.8497645234129885,0,0,0,0,4,4,1,B
33,Female,Married,Bachelor,Employed,5197.893091341645,11995.044074831778,31,12.672894292515725,7,No,13,4,3817.6045006834156,0.7252226829343063,0.40547522139874914,0.8712078913140695,1,0.45383923430194584,0,0,0,0,4,6,0,D
68,Female,Married,PhD,Self-Employed,2560.8755555821776,14797.565867492023,25,17.801713770750453,4,Yes,10,1,2477.5522624877435,0.5653622474527377,0.4143842744694557,0.9509328763603407,11,0.35095635244421663,0,0,0,0,1,7,1,B
72,Female,Married,PhD,Unemployed,2364.0776471919035,637.7110691826601,48,19.188571847494405,6,No,10,1,787.3326670105048,0.6900170932153076,0.3116556637013552,0.6876445341295896,2,0.5387808520753644,0,0,0,0,3,5,0,C
71,Male,Divorced,High School,Employed,4876.605264260774,24079.918855081054,22,15.206267951885016,8,Yes,12,5,2257.294764331111,0.8238410810924044,0.3308953841823843,0.9379616329711741,12,0.3162643944416139,0,0,0,0,2,3,0,D
